English,Indonesia
you,kamu
i,saya
the,si
to,ke
a,sebuah
's,Ini
it,dia
and,dan
that,itu
't,'t
of,arab
is,sedang
in,di
what,Apa
we,kami
me,saya
this,ini
he,dia
for,bagi
my,saya
on,di atas
have,punya
your,Anda
do,dari
was,Adalah
'm,'m
no,Tidak
not,tidak
be,ada
are,adalah
don,Don
're,'re
know,tahu
can,bisa
with,dengan
but,Tapi
all,semua
so,jadi
just,saja
there,sana
here,Sini
they,mereka
like,suka
'll,Akan
get,dapat
she,dia
go,pergi
if,kalau
right,Kanan
out,keluar
about,sekitar
up,ke atas
at,di
him,dia
now,sekarang
oh,oh
one,Satu
come,Apa
well,sumur
her,nya
how,bagaimana
yeah,Ya
've,'dan
will,kehendak
got,Mendapat
want,mau
think,pikir
as,sebagai
see,lihat
did,Melakukan
good,Bagus
who,Siapa
why,Mengapa
from,dari
let,biar
his,nya
yes,Ya
when,Kapan
going,Akan
time,Waktu
an,sebuah
okay,Oke
back,belakang
look,Lihat
us,kita
would,Akan
them,mereka
where,mana
were,adalah
take,ambil
then,kemudian
had,Telah
or,atau
been,Telah
our,kami
gonna,Akan
tell,menceritakan
really,Benarkah
man,Satu
some,beberapa
say,bilang
hey,Hei
could,Bisa
'd,'d
didn,Didn
by,oleh
need,perlu
something,sesuatu
has,Memiliki
too,juga
more,lebih
way,jalan
down,kebawah
make,membuat
very,sangat
never,tidak pernah
only,hanya
people,rakyat
over,atas
because,karena
little,sedikit
please,Tolong
love,Cinta
should,sebaiknya
mean,berarti
said,Mengatakan
sorry,Maaf
give,beri
off,Off
am,pada
thank,berterima kasih
any,apa saja
two,Dua
even,rata
much,banyak
doing,Melakukan
sure,yakin
thing,barang
these,Ini
help,Tolong
first,pertama
into,Ke
anything,apa-apa
still,masih
find,menemukan
life,hidup
nothing,tidak apa-apa
sir,bapak
day,hari
god,Tuhan
work,kerja
their,mereka
uh,Eh
again,lagi
maybe,mungkin
must,harus
before,sebelum
other,Lainnya
wait,Tunggu
stop,Stop
call,panggil
after,sesudah
won,won
talk,bicara
away,jauh
than,dari
thought,pikiran
home,rumah
night,Malam
put,meletakkan
great,Hebat
those,itu
last,terakhir
better,Lebih
everything,segala sesuatu
told,Diberitahu
mr.,bapak.
new,baru
things,barang-barang
always,selalu
keep,menyimpan
long,panjang
years,Tahun
